Year,Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,Nationality,
2009-2010,1,Henrik Sedin,VAN,29,F,82,29,83,112,48,35,Sweden,
2009-2010,2,Sidney Crosby,PIT,22,F,81,51,58,109,71,15,Canada,
2009-2010,3,Alexander Ovechkin,WSH,24,F,72,50,59,109,89,45,Russia,
2009-2010,4,Nicklas Bäckström,WSH,22,F,82,33,68,101,50,37,Sweden,
2009-2010,5,Steven Stamkos,TBL,19,F,82,51,44,95,38,-2,Canada,
2009-2010,6,Martin St. Louis,TBL,34,F,82,29,65,94,12,-8,Canada,
2009-2010,7,Brad Richards,DAL,29,F,80,24,67,91,14,-12,Canada,
2009-2010,8,Joe Thornton,SJS,30,F,79,20,69,89,54,17,Canada,
2009-2010,9,Patrick Kane,CHI,21,F,82,30,58,88,20,16,USA,
2009-2010,10,Marian Gaborik,NYR,27,F,76,42,44,86,37,15,Slovakia,
2010-2011,1,Daniel Sedin,VAN,30,F,82,41,63,104,32,30,Sweden,
2010-2011,2,Martin St. Louis,TBL,35,F,82,31,68,99,12,0,Canada,
2010-2011,3,Corey Perry,ANA,25,F,82,50,48,98,104,9,Canada,
2010-2011,4,Henrik Sedin,VAN,30,F,82,19,75,94,40,26,Sweden,
2010-2011,5,Steven Stamkos,TBL,20,F,82,45,46,91,74,3,Canada,
2010-2011,6,Jarome Iginla,CGY,33,F,82,43,43,86,40,0,Canada,
2010-2011,7,Alexander Ovechkin,WSH,25,F,79,32,53,85,41,24,Russia,
2010-2011,8,Teemu Selänne,ANA,40,F,73,31,49,80,49,6,Finland,
2010-2011,9,Henrik Zetterberg,DET,30,F,80,24,56,80,40,-1,Sweden,
2010-2011,10,Brad Richards,DAL,30,F,72,28,49,77,24,1,Canada,
2011-2012,1,Evgeni Malkin,PIT,25,F,75,50,59,109,70,18,Russia,
2011-2012,2,Steven Stamkos,TBL,21,F,82,60,37,97,66,7,Canada,
2011-2012,3,Claude Giroux,PHI,23,F,77,28,65,93,29,6,Canada,
2011-2012,4,Jason Spezza,OTT,28,F,80,34,50,84,36,11,Canada,
